Senator Name,PARTY,STATE,VOTE,,
Baldwin ,D,WI, Nay,,
Barrasso ,R,WY, Yea,,
Bennet ,D,CO, Nay,,
Blackburn ,R,TN, Yea,,
Blumenthal ,D,CT, Nay,,
Blunt ,R,MO, Yea,,
Booker ,D,NJ, Nay,,
Boozman ,R,AR, Yea,,
Braun ,R,IN, Yea,,
Brown ,D,OH, Nay,,
Burr ,R,NC, Yea,,
Cantwell ,D,WA, Nay,,
Capito ,R,WV, Yea,,
Cardin ,D,MD, Nay,,
Carper ,D,DE, Nay,,
Casey ,D,PA, Nay,,
Cassidy ,R,LA, Yea,,
Collins ,R,ME, Yea,,
Coons ,D,DE, Nay,,
Cornyn ,R,TX, Yea,,
Cortez Masto ,D,NV, Nay,,
Cotton ,R,AR, Yea,,
Cramer ,R,ND, Yea,,
Crapo ,R,ID, Yea,,
Cruz ,R,TX, Yea,,
Daines ,R,MT, Yea,,
Duckworth ,D,IL, Nay,,
Durbin ,D,IL, Nay,,
Ernst ,R,IA, Yea,,
Feinstein ,D,CA, Nay,,
Fischer ,R,NE, Yea,,
Gillibrand ,D,NY, Nay,,
Graham ,R,SC, Yea,,
Grassley ,R,IA, Yea,,
Hagerty ,R,TN, Yea,,
Hassan ,D,NH, Nay,,
Hawley ,R,MO, Yea,,
Heinrich ,D,NM, Nay,,
Hickenlooper ,D,CO, Nay,,
Hirono ,D,HI, Nay,,
Hoeven ,R,ND, Yea,,
Hyde-Smith ,R,MS, Yea,,
Inhofe ,R,OK, Yea,,
Johnson ,R,WI, Yea,,
Kaine ,D,VA, Nay,,
Kelly ,D,AZ, Yea,,
Kennedy ,R,LA, Yea,,
King ,I,ME, Nay,,
Klobuchar ,D,MN, Nay,,
Lankford ,R,OK, Yea,,
Leahy ,D,VT, Nay,,
Lee ,R,UT, Yea,,
Lujan ,D,NM, Nay,,
Lummis ,R,WY, Yea,,
Manchin ,D,WV, Yea,,
Markey ,D,MA, Nay,,
Marshall ,R,KS, Yea,,
McConnell ,R,KY, Yea,,
Menendez ,D,NJ, Nay,,
Merkley ,D,OR, Nay,,
Moran ,R,KS, Yea,,
Murkowski ,R,AK, Yea,,
Murphy ,D,CT, Nay,,
Murray ,D,WA, Nay,,
Ossoff ,D,GA, Nay,,
Padilla ,D,CA, Nay,,
Paul ,R,KY, Yea,,
Peters ,D,MI, Nay,,
Portman ,R,OH, Yea,,
Reed ,D,RI, Nay,,
Risch ,R,ID, Yea,,
Romney ,R,UT, Yea,,
Rosen ,D,NV, Nay,,
Rounds ,R,SD, Yea,,
Rubio ,R,FL, Yea,,
Sanders ,I,VT, Nay,,
Sasse ,R,NE, Yea,,
Schatz ,D,HI, Nay,,
Schumer ,D,NY, Nay,,
Scott ,R,FL, Yea,,
Scott ,R,SC, Yea,,
Shaheen ,D,NH, Nay,,
Shelby ,R,AL, Yea,,
Sinema ,D,AZ, Yea,,
Smith ,D,MN, Nay,,
Stabenow ,D,MI, Nay,,
Sullivan ,R,AK, Yea,,
Tester ,D,MT, Nay,,
Thune ,R,SD, Yea,,
Tillis ,R,NC, Yea,,
Toomey ,R,PA, Yea,,
Tuberville ,R,AL, Yea,,
Van Hollen ,D,MD, Nay,,
Warner ,D,VA, Nay,,
Warnock ,D,GA, Nay,,
Warren ,D,MA, Nay,,
Whitehouse ,D,RI, Nay,,
Wicker ,R,MS, Yea,,
Wyden ,D,OR, Nay,,
Young ,R,IN, Yea,,